text,upper_left_y,upper_left_x,upper_right_y,upper_right_x,lower_right_y,lower_right_x,lower_left_y,lower_left_x
в,1071,1267,1071,1282,1089,1282,1089,1267
города,1073,753,1073,865,1101,865,1101,753
ресурсов,1075,584,1075,731,1102,731,1102,584
земельных,1076,383,1076,563,1096,563,1096,383
объединения,1109,1178,1109,1390,1140,1390,1140,1178
Территориального,1112,849,1112,1159,1147,1159,1147,849
"""Арендодатель"",",1114,196,1114,495,1152,495,1152,196
нейшем,1119,48,1119,176,1145,176,1145,48
начальника,1120,642,1120,832,1140,832,1140,642
лице,1122,547,1122,625,1145,625,1145,547
в,1123,513,1123,530,1141,530,1141,513
Департамента,1159,647,1159,881,1194,881,1194,647
города,1163,1281,1163,1391,1190,1391,1190,1281
ресурсов,1164,1110,1164,1255,1191,1255,1191,1110
земельных,1165,905,1165,1084,1184,1084,1184,905
землепользования,1168,319,1168,622,1189,622,1189,319
регулирования,1171,48,1171,294,1198,294,1198,48
Людми-,1202,1261,1202,1393,1232,1393,1232,1261
Остаповой,1203,1068,1203,1243,1230,1243,1230,1068
г.Москвы,1204,890,1204,1049,1231,1049,1231,890
Восточном,1208,229,1208,413,1234,413,1234,229
Москвы,1209,49,1209,181,1235,181,1235,49
округе,1213,765,1213,872,1239,872,1239,765
административном,1214,432,1214,746,1240,746,1240,432
в,1217,198,1217,214,1234,214,1234,198
Департаменте,1248,1160,1248,1391,1282,1391,1282,1160
Положения,1250,913,1250,1104,1276,1104,1276,913
"Митрофановны,",1253,111,1253,381,1290,381,1290,111
действующего,1253,400,1253,643,1287,643,1287,400
о,1256,1124,1256,1141,1275,1141,1275,1124
основании,1258,719,1258,892,1277,892,1277,719
на,1259,662,1259,700,1278,700,1278,662
лы,1264,49,1264,92,1283,92,1283,49
№,1293,1248,1293,1283,1320,1283,1320,1248
33-И-,1293,1301,1293,1391,1320,1391,1320,1301
30.12.2005,1294,1017,1294,1190,1321,1190,1321,1017
Москвы,1298,534,1298,668,1325,668,1325,534
г.,1302,1209,1302,1231,1320,1231,1320,1209
доверенности,1304,719,1304,948,1331,948,1331,719
от,1304,966,1304,1001,1322,1001,1322,966
и,1306,685,1306,703,1324,703,1324,685
города,1307,406,1307,519,1334,519,1334,406
ресурсов,1308,241,1308,389,1336,389,1336,241
земельных,1309,49,1309,226,1329,226,1329,49
Открытое,1340,1234,1340,1393,1374,1393,1374,1234
"Стороны,",1341,1020,1341,1176,1376,1176,1376,1020
одной,1342,901,1342,998,1372,998,1372,901
"Москвы,",1343,705,1343,846,1375,846,1375,705
"3/5-(211),",1345,51,1345,203,1380,203,1380,51
Правительства,1345,399,1345,645,1379,645,1379,399
и,1349,1197,1349,1215,1367,1215,1367,1197
с,1350,868,1350,882,1369,882,1369,868
г.,1352,662,1352,684,1370,684,1370,662
имени,1353,277,1353,379,1372,379,1372,277
от,1354,225,1354,259,1373,259,1373,225
"Мосстрой"",",1385,1203,1385,1391,1420,1391,1420,1203
"""Информационно-вычислительный",1387,470,1387,1060,1425,1060,1425,470
общество,1390,285,1390,444,1422,444,1422,285
центр,1394,1085,1394,1179,1420,1179,1420,1085
акционерное,1400,50,1400,261,1428,261,1428,50
"«Арендатор»,",1436,546,1436,782,1471,782,1471,546
дальнейшем,1438,308,1438,514,1469,514,1469,308
директора,1440,1224,1440,1393,1466,1393,1466,1224
генерального,1441,972,1441,1193,1468,1193,1468,972
лице,1442,862,1442,940,1465,940,1465,862
в,1443,814,1443,830,1461,830,1461,814
именуемое,1447,50,1447,229,1474,229,1474,50
в,1447,261,1447,276,1465,276,1465,261
другой,1478,1280,1478,1391,1513,1391,1513,1280
действующего,1482,625,1482,865,1516,865,1516,625
Сергея,1484,200,1484,311,1519,311,1519,200
"Иннокентьевича,",1484,326,1484,609,1515,609,1515,326
Шанина,1485,51,1485,187,1512,187,1512,51
"устава,",1487,1123,1487,1235,1514,1235,1514,1123
с,1487,1253,1487,1267,1505,1267,1505,1253
основании,1488,934,1488,1107,1507,1107,1507,934
на,1489,882,1489,919,1507,919,1507,882
Префекта,1526,787,1526,949,1561,949,1561,787
Восточного,1526,976,1526,1171,1552,1171,1552,976
Распоряжением,1529,510,1529,772,1562,772,1562,510
администра-,1531,1187,1531,1391,1558,1391,1558,1187
соответствии,1537,244,1537,465,1557,465,1557,244
с,1537,481,1537,496,1555,496,1555,481
"стороны,",1539,51,1539,197,1566,197,1566,51
в,1539,213,1539,229,1557,229,1557,213
—,1566,1014,1566,1022,1614,1022,1614,1014
30.08.2006г.,1570,1107,1570,1302,1598,1302,1598,1107
Рег.,1570,1334,1570,1390,1596,1390,1596,1334
(ДЗР,1571,909,1571,987,1606,987,1606,909
1521-В-РП,1572,710,1572,880,1600,880,1600,710
№,1573,638,1573,673,1600,673,1600,638
28.08.2006г.,1574,409,1574,606,1601,606,1601,409
от,1579,1043,1579,1077,1598,1077,1598,1043
округа,1583,209,1583,319,1610,319,1610,209
от,1583,347,1583,382,1602,382,1602,347
тивного,1584,50,1584,179,1603,179,1603,50
Договор,1619,697,1619,834,1653,834,1653,697
настоящий,1620,506,1620,684,1650,684,1650,506
РД4-6576/1),1621,98,1621,298,1656,298,1656,98
№,1623,51,1623,87,1650,87,1650,51
нижеследующем:,1625,878,1625,1164,1652,1164,1652,878
о,1626,849,1626,866,1645,866,1645,849
заключили,1629,312,1629,491,1648,491,1648,312
ИСПОЛЬЗОВАНИЕ,1707,920,1707,1315,1736,1315,1736,920
ЦЕЛЕВОЕ,1709,693,1709,901,1744,901,1744,693
ДОГОВОРА,1711,392,1711,631,1747,631,1747,392
И,1711,648,1711,676,1738,676,1738,648
ПРЕДМЕТ,1714,164,1714,375,1749,375,1749,164
1.,1715,127,1715,154,1742,154,1742,127
УЧАСТКА,1755,775,1755,987,1783,987,1783,775
ЗЕМЕЛЬНОГО,1756,456,1756,758,1786,758,1786,456
именуемый,1799,1076,1799,1265,1834,1265,1834,1076
земельный,1801,733,1801,911,1828,911,1828,733
Договора,1804,409,1804,567,1838,567,1838,409
1.1.Предметом,1806,153,1806,396,1841,396,1841,153
даль-,1806,1308,1806,1392,1829,1392,1829,1308
в,1807,1280,1807,1295,1825,1295,1825,1280
"участок,",1808,924,1808,1062,1835,1062,1835,924
является,1810,578,1810,720,1830,720,1830,578
),1841,1260,1841,1284,1888,1284,1888,1260
(,1848,681,1848,691,1882,691,1882,681
1317,1849,595,1849,661,1876,661,1876,595
"«Участок»,",1851,198,1851,379,1883,379,1883,198
нейшем,1852,54,1852,181,1879,181,1879,54
м.,1853,1364,1853,1392,1871,1392,1871,1364
семнадцать,1854,1073,1854,1261,1876,1261,1876,1073
кв.,1854,1304,1854,1344,1872,1344,1872,1304
тысяча,1855,806,1855,923,1874,923,1874,806
триста,1855,948,1855,1058,1882,1058,1882,948
одна,1856,719,1856,795,1879,795,1879,719
площадью,1857,398,1857,569,1880,569,1880,398
12-я,1890,1330,1890,1393,1916,1393,1916,1330
"Москва,",1891,1177,1891,1310,1922,1310,1922,1177
имеющий,1894,565,1894,727,1924,727,1924,565
"поселений,",1895,366,1895,549,1927,549,1927,366
ориентиры:,1899,915,1899,1106,1927,1106,1927,915
г.,1899,1124,1899,1146,1917,1146,1917,1124
адресные,1900,744,1900,898,1928,898,1928,744
земель,1905,239,1905,350,1924,350,1924,239
из,1906,52,1906,86,1924,86,1924,52
состава,1906,102,1906,225,1924,225,1924,102
предоставляемый,1940,483,1940,773,1976,773,1976,483
"12,",1942,424,1942,463,1974,463,1974,424
Парковая,1944,54,1944,208,1979,208,1979,54
аренды,1945,1278,1945,1394,1972,1394,1972,1278
на,1946,1054,1946,1091,1965,1091,1965,1054
условиях,1946,1107,1946,1258,1973,1258,1973,1107
пользование,1947,827,1947,1033,1966,1033,1966,827
в,1948,793,1948,809,1966,809,1966,793
"улица,",1951,225,1951,330,1978,330,1978,225
вл.,1951,351,1951,393,1969,393,1969,351
информационно-вычислительного,1987,481,1987,1058,2021,1058,2021,481
центра.,1991,1070,1991,1190,2017,1190,2017,1070
здания,1996,357,1996,470,2019,470,2019,357
для,1997,52,1997,108,2020,108,2020,52
эксплуатации,1997,120,1997,345,2024,345,2024,120
Арендодателя,2028,1134,2028,1365,2063,1365,2063,1134
Договору,2029,915,2029,1074,2064,1074,2064,915
Передача,2035,145,2035,303,2070,303,2070,145
к,2035,1379,2035,1395,2053,1395,2053,1379
от,2037,1087,2037,1122,2055,1122,2055,1087
настоящему,2038,703,2038,903,2064,903,2064,703
по,2039,651,2039,690,2058,690,2058,651
участка,2040,513,2040,640,2067,640,2067,513
земельного,2041,313,2041,501,2061,501,2061,313
Догово-,2074,1265,2074,1394,2106,1394,2106,1265
правоотношений,2075,916,2075,1198,2110,1198,2110,916
Арендатору,2080,54,2080,250,2116,250,2116,54
по,2082,1214,2082,1251,2100,1251,2100,1214
возникновения,2084,652,2084,901,2104,901,2104,652
моментом,2086,471,2086,638,2105,638,2105,471
с,2087,443,2087,458,2105,458,2105,443
совпадает,2088,264,2088,429,2111,429,2111,264
РУ-,2134,54,2134,99,2161,99,2161,54
